split,seed,policy,mean_oracle_regret,mean_efficiency_error,mean_stop_step,mean_best_score,mean_evaluation_count
validation,107,ORACLE,0.0,0.2472778099189754,43.111111111111114,0.9211249678588026,1034.6666666666667
validation,107,RANDOM_MATCHED,-0.015597321906777258,0.2316804880121982,28.72222222222222,0.8805156925433574,689.3333333333334
validation,107,SIGNAL_SHUFFLED,0.024217940239400496,0.2714957501583759,14.805555555555555,0.7863384512305128,355.3333333333333
validation,107,STAGNATION_ONLY,-0.009441851904339542,0.23783595801463583,28.416666666666668,0.8731666461520308,682.0
validation,107,TIME_ONLY,-0.01777343247043106,0.22950437744854435,32.0,0.8954956225514557,768.0
validation,108,DIFFICULTY_BLIND,0.0034456518352575577,0.22875491597575104,29.61111111111111,0.8869134868020266,710.6666666666666
validation,108,EQUAL_BUDGET_FIXED,0.000362518417530763,0.22567178255802428,29.0,0.8876094674419757,696.0
validation,108,FULL_AB,0.005562668567129062,0.2308719327076226,29.61111111111111,0.8847964700701553,710.6666666666666
validation,108,MINUS_DIVERSITY,0.004632907182010639,0.22994217132250416,26.47222222222222,0.8734649467330514,635.3333333333334
validation,108,MINUS_GAIN,0.0030670088449068398,0.22837627298540036,28.97222222222222,0.8847964700701553,695.3333333333334
validation,108,MINUS_STAGNATION,0.03032485801121512,0.2556341221517086,48.861111111111114,0.935229593126069,1172.6666666666667
validation,108,MINUS_UNCERTAINTY,0.003751267736632227,0.22906053187712574,27.52777777777778,0.8784698500673187,660.6666666666666
validation,108,ORACLE,0.0,0.2253092641404935,38.666666666666664,0.9257324025261732,928.0
validation,108,RANDOM_MATCHED,-0.0006312708065009788,0.22467799333399252,29.5,0.8905563816660074,708.0
validation,108,SIGNAL_SHUFFLED,0.041174956414205925,0.26648422055469945,14.63888888888889,0.7906989391675229,351.3333333333333
validation,108,STAGNATION_ONLY,0.010252928599386526,0.23556219273988008,28.583333333333332,0.8760914530934533,686.0
validation,108,TIME_ONLY,-0.0022816815159960404,0.22302758262449748,32.0,0.9019724173755025,768.0
validation,109,DIFFICULTY_BLIND,-0.011585689525736203,0.22202678818681754,29.0,0.8912544618131825,696.0
validation,109,EQUAL_BUDGET_FIXED,-0.017341028567807452,0.2162714491447463,29.0,0.8970098008552535,696.0
validation,109,FULL_AB,-0.00442649720088123,0.22918598051167255,29.0,0.8840952694883275,696.0
validation,109,MINUS_DIVERSITY,-0.010385076019217069,0.22322740169333669,26.27777777777778,0.8794201677511078,630.6666666666666
validation,109,MINUS_GAIN,-0.004287398616501598,0.22932507909605215,28.305555555555557,0.8812434972928367,679.3333333333334
validation,109,MINUS_STAGNATION,0.0123097981425895,0.24592227585514326,49.19444444444444,0.9462435227559678,1180.6666666666667
validation,109,MINUS_UNCERTAINTY,-0.007147950562658319,0.22646452714989543,27.166666666666668,0.8796552645167712,652.0
validation,109,ORACLE,0.0,0.23361247771255375,45.333333333333336,0.9434708556207794,1088.0
validation,109,RANDOM_MATCHED,-0.016173117768951188,0.21743935994360258,29.61111111111111,0.8982290428341752,710.6666666666666
validation,109,SIGNAL_SHUFFLED,0.02709045400186254,0.26070293171441633,14.444444444444445,0.7957206793966948,346.6666666666667
validation,109,STAGNATION_ONLY,-0.003029922605173291,0.23058255510738046,28.63888888888889,0.8812881046148417,687.3333333333334
validation,109,TIME_ONLY,-0.007131221315542579,0.2264812563970112,32.0,0.8985187436029888,768.0
