split,seed,episode,difficulty,step,gain,score_std,diversity,stagnation,hazard,cumulative_hazard,oracle_value,oracle_action
calibration,100,4,MEDIUM,16,0.0,0.13753937010315895,0.22735507246376813,2,0.19902451761875767,3.2329075061069905,0.07789909638554207,CONTINUE
calibration,100,4,MEDIUM,32,0.0,0.16652440877748226,0.18795289855072464,5,0.34574805050181967,7.778802956939016,0.021225527108433784,CONTINUE
calibration,100,4,RUGGED,4,0.0,0.07347180347153513,0.4204030797101449,1,0.14696962247011863,0.6734083248420596,0.20908430232558145,CONTINUE
calibration,100,4,RUGGED,8,0.019186046511627808,0.09100361693245826,0.32212409420289856,0,0.11637051267930514,1.5464368108422424,0.1916515261627907,CONTINUE
calibration,100,4,RUGGED,16,0.0,0.1233560147868011,0.2164855072463768,1,0.16596302338542215,3.2340185204214786,0.08535610465116267,CONTINUE
calibration,100,4,RUGGED,32,0.0,0.1567128303674155,0.22316576086956522,15,0.86280421928211,12.539143409282943,-0.008557412790697647,STOP
calibration,100,5,EASY,4,0.0746913580246914,0.07012212091182185,0.40002264492753625,0,0.08646152466149776,0.620671323076802,0.22716049382716041,CONTINUE
calibration,100,5,EASY,8,0.08179012345679015,0.10643868981223312,0.3172554347826087,0,0.08675370516144468,1.3558457154723458,0.13301504629629624,CONTINUE
calibration,100,5,EASY,16,0.0012345679012345512,0.13336625284149567,0.18149909420289856,0,0.1361418244893085,3.1959266103015307,0.0746527777777777,CONTINUE
calibration,100,5,EASY,32,0.0,0.17045754918904837,0.27660778985507245,13,0.7805446501450718,11.177767438440567,0.0024594907407407968,CONTINUE
calibration,100,5,MEDIUM,4,0.047891566265060304,0.07053152109958691,0.38405797101449274,0,0.09902067644932233,0.6707687728251741,0.28405496987951795,CONTINUE
calibration,100,5,MEDIUM,8,0.08343373493975903,0.09778042343551448,0.2736639492753623,0,0.09044865308536897,1.320327724168626,0.1322948042168675,CONTINUE
calibration,100,5,MEDIUM,16,0.08343373493975903,0.11977128877187883,0.24558423913043478,0,0.0905878370914455,3.303163045561505,0.016763930722891493,CONTINUE
calibration,100,5,MEDIUM,32,0.0,0.17375599181892615,0.1916893115942029,1,0.16108239356875897,8.76397504436646,-0.015625,STOP
calibration,100,5,RUGGED,4,0.0,0.06351652603238489,0.3825860507246377,1,0.15331866251260615,0.7485724247829166,0.3185138081395349,CONTINUE
calibration,100,5,RUGGED,8,0.03313953488372079,0.09264550842916269,0.2156929347826087,0,0.1199857389634031,1.4289137138388945,0.19075218023255824,CONTINUE
calibration,100,5,RUGGED,16,0.0,0.11806868349967298,0.24116847826086957,1,0.1634401909153129,3.011144978094291,0.06876816860465124,CONTINUE
calibration,100,5,RUGGED,32,0.0,0.1774828533405119,0.29562952898550726,1,0.1469646442255346,7.557738913444179,-0.012645348837209306,STOP
calibration,100,6,EASY,4,0.0,0.09127412046767486,0.3688858695652174,1,0.1507904547202636,0.6475118596825741,0.210426311728395,CONTINUE
calibration,100,6,EASY,8,0.0,0.13279149805230733,0.2729846014492754,1,0.15678660334591202,1.4752753412577482,0.12568479938271604,CONTINUE
calibration,100,6,EASY,16,0.0,0.13186412846454257,0.38654891304347827,5,0.3111419758164634,3.80799383838343,0.06105324074074081,CONTINUE
calibration,100,6,EASY,32,0.0,0.1954041514075302,0.2112771739130435,5,0.33275248125169077,7.875281470312766,-0.014467592592592594,STOP
calibration,100,6,MEDIUM,4,0.0,0.09274845318460029,0.2477355072463768,1,0.16672282164497065,0.6665068462163649,0.22402108433734935,CONTINUE
calibration,100,6,MEDIUM,8,0.0662650602409639,0.13080150187831435,0.19927536231884058,0,0.10087295709246398,1.410770126084523,0.1391660391566265,CONTINUE
calibration,100,6,MEDIUM,16,0.07259036144578324,0.17318359646265746,0.24343297101449277,0,0.08995331441624897,3.016648178132118,0.01959713855421681,CONTINUE
calibration,100,6,MEDIUM,32,0.0,0.20544871758580602,0.19769021739130435,5,0.3330930437945662,8.749749516526148,-0.015625,STOP
calibration,100,6,RUGGED,4,0.0,0.08939905360970506,0.23233695652173914,1,0.16943795511334983,0.67774499755676,0.22854287790697675,CONTINUE
calibration,100,6,RUGGED,8,0.06395348837209291,0.14102358055458375,0.22361865942028986,0,0.09862341745824398,1.3656117579183744,0.06061954941860474,CONTINUE
calibration,100,6,RUGGED,16,0.0,0.16462170159232883,0.24830163043478262,3,0.23221471598798274,3.3302418921800734,0.0647438226744186,CONTINUE
calibration,100,6,RUGGED,32,0.0,0.20308962718622145,0.2012001811594203,3,0.23238234079253714,9.527911208718997,-0.015625,STOP
calibration,100,7,EASY,4,0.04845679012345705,0.09768518433868159,0.3825860507246377,0,0.09603375962666563,0.620953712565613,0.16539351851851847,CONTINUE
calibration,100,7,EASY,8,0.0,0.12360160549648341,0.2566802536231884,4,0.28802363349817317,1.8957336168683148,0.19161844135802464,CONTINUE
calibration,100,7,EASY,16,0.0,0.13455379914011156,0.21173007246376813,1,0.16476476256449632,3.8473840959715546,0.014959490740740662,CONTINUE
calibration,100,7,EASY,32,0.0,0.1409984485082792,0.2399230072463768,10,0.6435667703192369,10.32873301331834,-0.01454475308641975,STOP
calibration,100,7,MEDIUM,4,0.030722891566265176,0.09438850751421206,0.24886775362318841,0,0.11755932940838301,0.6815753119986038,0.18949548192771076,CONTINUE
